surrogate key,date,month,year
1,2020-01-01,1,2020
2,2020-01-01,1,2020
3,2020-01-03,1,2020
4,2020-01-03,1,2020
5,2020-01-05,1,2020
6,2020-01-06,1,2020
7,2020-01-06,1,2020
8,2020-01-06,1,2020
9,2020-01-07,1,2020
10,2020-01-07,1,2020
11,2020-01-09,1,2020
12,2020-01-09,1,2020
13,2020-01-10,1,2020
14,2020-01-14,1,2020
15,2020-01-14,1,2020
16,2020-01-17,1,2020
17,2020-01-17,1,2020
18,2020-01-18,1,2020
19,2020-01-20,1,2020
20,2020-01-21,1,2020
21,2020-01-22,1,2020
22,2020-01-22,1,2020
23,2020-01-24,1,2020
24,2020-01-25,1,2020
25,2020-01-26,1,2020
26,2020-01-26,1,2020
27,2020-01-28,1,2020
28,2020-01-30,1,2020
29,2020-01-31,1,2020
30,2020-02-05,2,2020
31,2020-02-05,2,2020
32,2020-02-06,2,2020
33,2020-02-07,2,2020
34,2020-02-07,2,2020
35,2020-02-07,2,2020
36,2020-02-07,2,2020
37,2020-02-08,2,2020
38,2020-02-08,2,2020
39,2020-02-10,2,2020
40,2020-02-11,2,2020
41,2020-02-13,2,2020
42,2020-02-14,2,2020
43,2020-02-16,2,2020
44,2020-02-18,2,2020
45,2020-02-18,2,2020
46,2020-02-18,2,2020
47,2020-02-20,2,2020
48,2020-02-21,2,2020
49,2020-02-21,2,2020
50,2020-02-24,2,2020
51,2020-02-26,2,2020
52,2020-02-27,2,2020
53,2020-02-27,2,2020
54,2020-02-27,2,2020
55,2020-02-27,2,2020
56,2020-02-28,2,2020
57,2020-03-03,3,2020
58,2020-03-03,3,2020
59,2020-03-04,3,2020
60,2020-03-04,3,2020
61,2020-03-05,3,2020
62,2020-03-05,3,2020
63,2020-03-05,3,2020
64,2020-03-07,3,2020
65,2020-03-11,3,2020
66,2020-03-13,3,2020
67,2020-03-13,3,2020
68,2020-03-17,3,2020
69,2020-03-18,3,2020
70,2020-03-20,3,2020
71,2020-03-20,3,2020
72,2020-03-20,3,2020
73,2020-03-23,3,2020
74,2020-03-24,3,2020
75,2020-03-25,3,2020
76,2020-03-27,3,2020
77,2020-03-27,3,2020
78,2020-03-30,3,2020
79,2020-03-31,3,2020
80,2020-04-01,4,2020
81,2020-04-05,4,2020
82,2020-04-06,4,2020
83,2020-04-06,4,2020
84,2020-04-07,4,2020
85,2020-04-08,4,2020
86,2020-04-09,4,2020
87,2020-04-11,4,2020
88,2020-04-14,4,2020
89,2020-04-15,4,2020
90,2020-04-15,4,2020
91,2020-04-16,4,2020
92,2020-04-16,4,2020
93,2020-04-17,4,2020
94,2020-04-18,4,2020
95,2020-04-21,4,2020
96,2020-04-21,4,2020
97,2020-04-22,4,2020
98,2020-04-22,4,2020
99,2020-04-23,4,2020
100,2020-04-23,4,2020
101,2020-04-24,4,2020
102,2020-04-25,4,2020
103,2020-04-28,4,2020
104,2020-04-29,4,2020
105,2020-05-01,5,2020
106,2020-05-01,5,2020
107,2020-05-01,5,2020
108,2020-05-01,5,2020
109,2020-05-02,5,2020
110,2020-05-02,5,2020
111,2020-05-07,5,2020
112,2020-05-07,5,2020
113,2020-05-07,5,2020
114,2020-05-07,5,2020
115,2020-05-08,5,2020
116,2020-05-09,5,2020
117,2020-05-09,5,2020
118,2020-05-09,5,2020
119,2020-05-10,5,2020
120,2020-05-11,5,2020
121,2020-05-11,5,2020
122,2020-05-13,5,2020
123,2020-05-14,5,2020
124,2020-05-14,5,2020
125,2020-05-16,5,2020
126,2020-05-16,5,2020
127,2020-05-16,5,2020
128,2020-05-17,5,2020
129,2020-05-18,5,2020
130,2020-05-19,5,2020
131,2020-05-20,5,2020
132,2020-05-21,5,2020
133,2020-05-21,5,2020
134,2020-05-22,5,2020
135,2020-05-23,5,2020
136,2020-05-23,5,2020
137,2020-05-24,5,2020
138,2020-05-25,5,2020
139,2020-05-25,5,2020
140,2020-05-25,5,2020
141,2020-05-27,5,2020
142,2020-05-28,5,2020
143,2020-05-31,5,2020
144,2020-06-02,6,2020
145,2020-06-02,6,2020
146,2020-06-04,6,2020
147,2020-06-06,6,2020
148,2020-06-07,6,2020
149,2020-06-07,6,2020
150,2020-06-07,6,2020
151,2020-06-10,6,2020
152,2020-06-10,6,2020
153,2020-06-10,6,2020
154,2020-06-11,6,2020
155,2020-06-12,6,2020
156,2020-06-12,6,2020
157,2020-06-14,6,2020
158,2020-06-14,6,2020
159,2020-06-15,6,2020
160,2020-06-16,6,2020
161,2020-06-17,6,2020
162,2020-06-19,6,2020
163,2020-06-19,6,2020
164,2020-06-21,6,2020
165,2020-06-22,6,2020
166,2020-06-23,6,2020
167,2020-06-23,6,2020
168,2020-06-23,6,2020
169,2020-06-23,6,2020
170,2020-06-25,6,2020
171,2020-06-25,6,2020
172,2020-06-25,6,2020
173,2020-06-26,6,2020
174,2020-06-27,6,2020
175,2020-06-27,6,2020
176,2020-06-27,6,2020
177,2020-06-29,6,2020
178,2020-06-30,6,2020
179,2020-07-02,7,2020
180,2020-07-03,7,2020
181,2020-07-03,7,2020
182,2020-07-03,7,2020
183,2020-07-04,7,2020
184,2020-07-06,7,2020
185,2020-07-06,7,2020
186,2020-07-07,7,2020
187,2020-07-08,7,2020
188,2020-07-09,7,2020
189,2020-07-09,7,2020
190,2020-07-10,7,2020
191,2020-07-10,7,2020
192,2020-07-13,7,2020
193,2020-07-16,7,2020
194,2020-07-19,7,2020
195,2020-07-19,7,2020
196,2020-07-22,7,2020
197,2020-07-23,7,2020
198,2020-07-24,7,2020
199,2020-07-24,7,2020
200,2020-07-27,7,2020
201,2020-07-28,7,2020
202,2020-07-30,7,2020
203,2020-07-30,7,2020
204,2020-08-01,8,2020
205,2020-08-02,8,2020
206,2020-08-02,8,2020
207,2020-08-03,8,2020
208,2020-08-04,8,2020
209,2020-08-05,8,2020
210,2020-08-05,8,2020
211,2020-08-06,8,2020
212,2020-08-06,8,2020
213,2020-08-09,8,2020
214,2020-08-10,8,2020
215,2020-08-12,8,2020
216,2020-08-13,8,2020
217,2020-08-17,8,2020
218,2020-08-18,8,2020
219,2020-08-19,8,2020
220,2020-08-20,8,2020
221,2020-08-20,8,2020
222,2020-08-21,8,2020
223,2020-08-23,8,2020
224,2020-08-24,8,2020
225,2020-08-25,8,2020
226,2020-08-30,8,2020
227,2020-08-31,8,2020
228,2020-08-31,8,2020
229,2020-09-01,9,2020
230,2020-09-02,9,2020
231,2020-09-03,9,2020
232,2020-09-03,9,2020
233,2020-09-03,9,2020
234,2020-09-03,9,2020
235,2020-09-04,9,2020
